Eng,Rus
"The matrix operators for multiplication, division, and power each have a corresponding array operator that operates element-wise. For example, raise each element of a to the third power:","Для каждого из матричных операторов умножения, деления и возведения в степень существует соответствующий оператор для поэлементных операций. Например, возведите каждый элемент массива в третью степень:"
"To add text to the end of a string, use the plus operator,                 +.","Чтобы добавить текст в конец строки, используйте оператор плюс, +."
"DVD installation — Insert DVD 1 into the DVD drive                                 connected to your system. When the DVD icon appears on the desktop,                                 double-click the icon to display the DVD contents, and then                                 double-click the InstallForMacOSX icon to begin                                 the installation.","Установка DVD — Вставьте DVD 1 в DVD-привод, соединенный с вашей системой. Когда значок DVD появится на рабочем столе, дважды кликните значок, чтобы отобразить содержимое DVD, и затем дважды кликнуть значок InstallForMacOSX, чтобы начать установку."
Find the nonzero elements in a 3-by-3 matrix.,Найдите ненулевые элементы в матрице 3-на-3.
"Debugging and testing, organizing large projects, source control integration,                 toolbox packaging","Отлаживание и тестирование, организация крупных проектов, интеграция с системой контроля версий, упаковка тулбокса"
"Controllability and observability, Lyapunov and Riccati equations","Управляемость и наблюдаемость, Ляпунов и уравнения Риккати"
"Linear algebra, differentiation and integrals, Fourier transforms, and other mathematics","Линейная алгебра, дифференцирование и интегралы, преобразования Фурье и другая математика (автопремодерация)"
"Concatenate character arrays with square brackets, just as you concatenate numeric                 arrays.","Объединяйте символьные массивы квадратными скобками, так же, как вы объединяете числовые массивы."
"Configure, explore, and import database data","Сконфигурируйте, исследуйте и импортируйте данные базы данных. TEST"
"Concatenating arrays next to one another using commas is called horizontal concatenation. Each array must have the same number of rows. Similarly, when the arrays have the same number of columns, you can concatenate vertically using semicolons.","Конкатенация массивов друг с другом с помощью запятых называется горизонтальной конкатенацией. Каждый массив должен иметь одинаковое количество строк. Точно так же, когда массивы имеют одинаковое количество столбцов, можно конкатенировать вертикально с использованием точки с запятой."
MATLAB displays only the values of A and C             in the Command Window.,MATLAB отображает только значения A и C в Командном окне. TEST
"Linear algebra, differentiation and integrals, Fourier transforms, and other mathematics","Линейная алгебра, дифференцирование и интегрирование, преобразование Фурье и прочая математика"
"If the text includes double quotes, use two double quotes within the                 definition.","Если текст включает двойные кавычки, используйте две двойных кавычки при определении."
Step 3: Install With a File Installation Key,Шаг 3: Установите с File Installation Key
"Sometimes characters represent data that does not correspond to text, such as a                 DNA sequence. You can store this type of data in a character array, which has data                 type char. Character arrays use single                 quotes.","Иногда символы представляют данные, который не соответствует тексту, такие как последовательность ДНК. Можно сохранить этот тип данных в символьном массиве, который имеет тип данных char. Символьные массивы используют одинарные кавычки."
Design models of time-varying systems,Проектные модели изменяющихся во времени систем
Using a single subscript to refer to a particular element in an array is called linear indexing.,Использование одинарного индекса для обращения к конкретному элементу массива называется линейной индексацией.
"There are two ways to refer to a particular element in an array. The most common way is to specify row and column subscripts, such as",Существует два способа обратиться к конкретному элементу в массиве. Наиболее распространенный способ - это задание индексов строки и столбца
Learn the basics of MATLAB,Изучите основы MATLAB 7899999
When to Generate Code from MATLAB Algorithms,Когда нужно генерировать код из алгоритмов MATLAB
"Debugging and testing, organizing large projects, source control integration,                 toolbox packaging","Отладка и тестирование, организация крупных проектов, интеграция с системой контроля версий, упаковка тулбоксов"
Open settings panel for ASIO driver,Открыть панель настроек для драйвера ASIO
"Extend the existing Simulink modeling functionality using MATLAB, C/C++, and Fortran code","Расширьте существующий Simulink, моделируя использование функциональности MATLAB, C/C++ и код Fortran"
"Use Simulink® to model algorithms and physical systems using block diagrams. You can                 model linear and nonlinear systems, factoring in real-world phenomena such as                 friction, gear slippage, and hard stops.","Используйте Simulink® для моделирования алгоритмов и физических систем с помощью блок-схем. Вы можете смоделировать линейные и нелинейные системы, включающие в реальные явления, такие как трение, проскальзывание передачи, и жесткие остановки."
DVD installation — Insert DVD 1 into the DVD drive connected to your system and execute this command:,"Установка DVD — Вставьте DVD 1 в DVD-привод, соединенный с вашей системой, и выполняет эту команду:"
"To run the installer interactively without an internet connection, you need:the     following:","Для запуска установщика в интерактивном режиме без интернет-соединения, вы потребуется следующее:"
Extend existing Simulink® modeling functionality using MATLAB® and C/C++ code,Расширьте существующую функциональность моделирования Simulink® с помощью кода C/C++ и кода&nbsp;MATLAB®
"Copy the products files (including the installer file) to your computer or an accessible location (for example, DVDs, USB drive, or network share).","Скопируйте файлы продуктов (включая файл инсталлятора) на ваш компьютер или доступное местоположение (например, DVDs, Карта памяти или сетевой ресурс)."
"Every variable in MATLAB® is an array that can hold many numbers. When you want to access selected elements of an array, use indexing.","Каждая переменная в MATLAB® является массивом, который может содержать много чисел. Используйте индексацию для получения доступа к выбранным элементам массива, ."
Automatic Meter Reading,Автоматическое чтение счетчика
"You can use this procedure to install one of the standalone or network license options. If     you use this with a network license option, you must specify the License File path and choose     whether to configure the network license manager. See Install MathWorks Software on Client Systems (Installation, Licensing, and Activation) for more information about these additional steps.","Можно использовать эту процедуру, чтобы установить один из автономных или сетевых параметров лицензии. При использовании это с сетевым параметром лицензии, необходимо задать путь к Файлу Лицензии и выбрать, сконфигурировать ли сетевой менеджер лицензий. Смотрите Установку программное обеспечение MathWorks в Клиентских Системах (Установка, Лицензирование и Активация) для получения дополнительной информации об этих дополнительных шагах."
Design models of time-varying systems,Модели проекта изменяющихся во времени систем test
Use Model Advisor checks to troubleshoot common issues with unit settings.,"Используйте проверки Model Advisor, чтобы диагностировать общие вопросы с модульными настройками."
Directly call C library functions from MATLAB,Вызов библиотечных функций C непосредственно из MATLAB
"To create a MATLAB server manually, use the -automation switch in                     the matlab startup command.","Чтобы создать сервер matlab вручную, используйте переключатель -automation в команде запуска matlab."
Block Authoring and Simulation Integration,Авторские блоки и интеграция в симуляцию
"Run systems, review results, validate system behavior","Запуск систем, рассмотрите результаты, подтвердите поведение системы"
"MATLAB is an abbreviation for ""matrix laboratory."" While other programming languages mostly work with numbers one at a time, MATLAB® is designed to operate primarily on whole matrices and arrays.","MATLAB является сокращением от ""матричная лаборатория"". В то время как другие языки программирования в основном работают с числами, MATLAB® создан для работы в первую очередь с матрицами и массивами."
RF Propagation,Распространение RF
"Similar to numeric arrays, string arrays can have multiple elements. Use the                     strlength function to find the length of each string within                 an                 array.","Подобно числовым массивам, массивы строк могут иметь несколько элементов. Используйте функцию strlength, чтобы найти длину каждой строки в массиве."
"Concatenation is the process of joining arrays to make larger ones. In fact, you made your first array by concatenating its individual elements. The pair of square brackets [] is the concatenation operator.",Конкатенация является процессом слияния массивов для создавания бОльших массивов. На самом деле вы сделали свой первый массив путем конкатенации его отдельных элементов. Пара квадратных скобок [] является оператором конкатенации.
"To call a function, such as max, enclose its input arguments in parentheses:","Чтобы вызвать функцию, такую как max, заключите его входные параметры в круглые скобки:"
MATLAB allows you to process all of the values in a matrix using a single arithmetic operator or function.,MATLAB позволяет вам обрабатывать все значения в матрице с помощью одного арифметического оператора или функции.
"Time- and frequency-domain responses, stability margins, parameter sensitivity","Отклик во временной и частотной областях, запас устойчивости, чувствительность параметров"
"External language and library interfaces, including Python®, Java®, C, C++, .NET, and Web services","Внешние интерфейсы к языкам и библиотекам, включая Python®, Java®, C, C++.NET и веб-сервисы"
"To refer to multiple elements of an array, use the colon operator, which allows you to specify a range of the form start:end. For example, list the elements in the first three rows and the second column of A:","Для обращения к нескольким элементам массива используйте оператор двоеточия, который позволяет вам задавать область значений в форме&nbsp;start:end. Например, перечислите элементы в первых трех строках и втором столбце A:"
"Import and export data, including large files; preprocess data, visualize and                 explore","Импорт и экспорт данных, в том числе и больших файлов; предварительная обработка данных, визуализация и исследования"
"If you omit the middle step, as in start:end, MATLAB uses the default step value of 1.","Если вы опускаете шаг посередине, как в start:end, то MATLAB использует значение шага по умолчанию 1."
"Every variable in MATLAB® is an array that can hold many numbers. When you want to access selected elements of an array, use indexing.","Каждая переменная в MATLAB® является массивом, который может содержать много чисел. Для получения доступа к выбранным элементам массива, используйте индексацию."
"With Simulink®, you can interactively simulate your system model and view the results                 on scopes and graphical displays. For simulation of continuous, discrete, and                 mixed-signal systems, you can choose from a range of fixed-step and variable-step                 solvers. Solvers are integration algorithms that compute system dynamics over                 time.","С Simulink® вы можете в интерактивном режиме моделировать системную модель и наблюдать результаты на осциллографах и графических дисплеях. Для моделирования непрерывных, дискретных, и систем со смешанными сигналами вы можете выбрать из ряда решателей с переменным шагом и фиксированным шагом. Решатели являются алгоритмами интегрирования, которые вычисляют динамику системы в зависимости от времени."
The variables also appear in the Workspace pane on the desktop.,Переменные также появляются в панели Workspace на рабочем столе.
"Arithmetic, relational, and logical operators, special characters, rounding, set functions","Арифметика, реляционные, и логические операторы, специальные символы, округление, функции множества (непремодер)"
"Concatenating arrays next to one another using commas is called horizontal concatenation. Each array must have the same number of rows. Similarly, when the arrays have the same number of columns, you can concatenate vertically using semicolons.","Конкатенация массивов друг с другом с использованием запятых называется горизонтальной конкатенацией. Каждый массив должен иметь одинаковое количество строк. Точно так же, когда массивы имеют одинаковое количество столбцов, можно конкатенировать вертикально с использованием точек с запятой."
"Two- and three-dimensional plots, images, animation","2D и 3D графики, изображения, анимация"
"Character arrays are common in programs that were written before the introduction                 of string arrays. All MATLAB functions that accept string data also accept                     char data, and vice versa.","Символьные массивы распространены в программах, которые были написаны перед введением массивов строк. Все функции MATLAB, которые принимают данные string также, принимают данные char, и наоборот."
"Concatenation is the process of joining arrays to make larger ones. In fact, you made your first array by concatenating its individual elements. The pair of square brackets [] is the concatenation operator.",Конкатенация является процессом слияния массивов для создания бОльших массивов. На самом деле вы сделали свой первый массив путем конкатенации его отдельных элементов. Пара квадратных скобок [] является оператором конкатенации.
"The colon alone, without start or end values, specifies all of the elements in that dimension. For example, select all the columns in the third row of A:","&nbsp;Двоеточие без начальных или конечных значений указывает все элементы в этом измерении. Например, выберите все столбцы в третьей строке A:"
Step 8: Specify Installation Options,Шаг 8: Задайте опции инсталляции
Extend existing Simulink® modeling functionality using MATLAB® and C/C++ code,Расширьте существующую функциональность моделирования в&nbsp;Simulink®&nbsp; с помощью кода C/C++ и кода&nbsp;MATLAB®
"Complex numbers have both real and imaginary parts, where the imaginary unit is the square root of -1.","Комплексные числа имеют действительные и мнимые части, где мнимая единица является квадратным корнем из -1."
"There are two ways to refer to a particular element in an array. The most common way is to specify row and column subscripts, such as","Существует два способа обратиться к конкретному элементу в массиве. Наиболее распространенный способ - это задание индексов строки и столбца, такой как"
"When you are working with text, enclose sequences of characters in double quotes.                 You can assign text to a                 variable.","Когда вы работаете с текстом, заключайте последовательности символов в двойные кавычки. Можно присвоить текст переменной."
"You can use the randperm function to create arrays of random integer values that have no repeated values. For example,","Можно использовать функцию randperm, создать массивы случайных целочисленных значений, которые не имеют никаких повторных значений. Например,"
"If you do not have an Internet connection, and choose to install manually, the installer displays the File Installation Key dialog box. A File Installation Key identifies the products you can install.","Если у вас нет Интернет-соединения и принимаете решение установить вручную, инсталлятор отображает диалоговое окно File Installation Key. Ключ Установки Файла идентифицирует продукты, которые можно установить."
"To create two-dimensional line plots, use the plot function. For example, plot the value of the sine function from 0 to :","Чтобы построить двумерные графики, используйте функцию plot. Например, постройте график значения синусоидальной функции от 0 до: 55555"
"To create a matrix that has multiple rows, separate the rows with semicolons.","Чтобы создать матрицу, которая имеет несколько строк, разделите строки точками с запятой."
"Ensure that the product files, including the MATLAB® installer, are available in an accessible location, for example, in the default       Downloads folder on your computer, a network share, or on DVDs. If the product files are       located in a folder other than the default Downloads folder on your computer, the installer       file must be located in the same folder as the product files.","Убедитесь, что файлы продукта, включая инсталлятор MATLAB®, доступны в доступном месте, например, в папке Downloads по умолчанию на вашем компьютере, сетевом ресурсе, или на DVDs. Если файлы продукта расположены в папке кроме папки Downloads по умолчанию на вашем компьютере, файл инсталлятора должен быть расположен в той же папке как файлы продукта."
Example models illustrating specific functionality and                                 applications,"Примеры моделей, иллюстрирующие определенную функциональность и приложения"
"macOS Systems — Get the name and password of an administrator         account on your computer. The administrator account is the user account you set up when you         configured your macOS system; this is not your MathWorks Account. During installation, you must enter this name and password in the         Authenticate dialog box, shown below.","Системы macOS — Узнайте имя и пароль учетной записи администратора на вашем компьютере. Учетная запись администратора является учетной записью пользователя, которую вы настраиваете, когда вы сконфигурировали свою macOS систему; это не ваш MathWorks Account. Во время установки необходимо ввести это имя и пароль в диалоговое окно Authenticate, показанное ниже."
"Creating string arrays with double quotes was introduced in R2017a. If you are                     using an earlier release, create character arrays. For details, see Data in Character Arrays.","Создание массивов строк с двойными кавычками было введено в R2017a. При использовании более раннего релиза, создавайте массивы символов. Для получения дополнительной информации смотрите Данные в Символьных массивах."
You can extend the existing modeling functionality of Simulink by creating new blocks and adding them to the Simulink library browser. Use a custom block to:,Можно расширить существующую функциональность моделирования в Simulink путем создания новых блоков и добавления их в браузер библиотек Simulink. Используйте авторские блоки для:
"However, on the left side of an assignment statement, you can specify elements outside the current dimensions. The size of the array increases to accommodate the newcomers.","Однако на левой стороне оператора присваивания, можно указать элементы вне текущих размерностей. Размер массива увеличивается, чтобы разместить вновь прибывших."
"t and q are arrays, like all MATLAB® variables. Their class or data type is                     string.","t и q являются массивами, как и все переменные MATLAB®. Их классом или типом данных является string."
"Workspace variables do not persist after you exit MATLAB. Save your data for later use with the                 save command,","Переменные рабочей области не сохраняются после того, как вы выйдете из MATLAB. Сохраняйте свои данные для более дальнейшего использования с командой save,"
Have your File Installation Key and License File available. You       need both these items to perform an off-network installation and activation.,"Держите в наличии Файл ключей Установки Файла и Файл Лицензии. Вам нужны эти элементы, чтобы выполнить несетевую установку и активацию."
"To represent the imaginary part of complex numbers, use either i or j.","Для представления мнимой части комплексного числа, используйте или i или j."
"Profile code, improve performance, reduce memory requirements","Профилируйте код, улучшайте производительность, уменьшайте требования к памяти"
Design and analyze control systems,Разрабатывайте и анализируйте системы управления
"Run models, review results, validate system behavior","Запускайте модели, рассматривайте результаты, подтверждайте поведение системы"
"MATLAB is an abbreviation for ""matrix laboratory."" While other programming languages mostly work with numbers one at a time, MATLAB® is designed to operate primarily on whole matrices and arrays.","MATLAB является сокращением от ""матричная лаборатория"". В то время как другие языки программирования главным образом работают с числами, MATLAB® создан для работы в первую очередь с матрицами и массивами."
